"rules";"support";"confidence";"coverage";"lift";"count"
"{A2,Pr,SM} => {SNMPTN}";0.0388548057259714;0.730769230769231;0.0531697341513293;1.9634404057481;19
"{A1,Pr,SM,SNMPTN} => {Teknik Sipil}";0.0388548057259714;0.76;0.0511247443762781;1.8769696969697;19
"{A1,B,Pr,SM} => {Teknik Sipil}";0.0572597137014315;0.736842105263158;0.0777096114519427;1.81977671451356;28
"{A2,Pr} => {SNMPTN}";0.049079754601227;0.666666666666667;0.0736196319018405;1.79120879120879;24
"{A1,B,Pr} => {Teknik Sipil}";0.0797546012269939;0.722222222222222;0.110429447852761;1.78367003367003;39
"{A1,Pr,SM} => {Teknik Sipil}";0.0695296523517382;0.693877551020408;0.100204498977505;1.71366728509586;34
"{B,Pr,SM} => {Teknik Sipil}";0.098159509202454;0.666666666666667;0.147239263803681;1.64646464646465;48
"{A1,B,SNMPTN} => {Teknik Sipil}";0.0633946830265849;0.659574468085106;0.0961145194274029;1.62894906511928;31
"{B,Pr} => {Teknik Sipil}";0.12678936605317;0.639175257731959;0.198364008179959;1.5785691971259;62
"{A1,SM,SNMPTN} => {Teknik Sipil}";0.0715746421267894;0.636363636363636;0.112474437627812;1.57162534435262;35
"{SBMPTN,SM,Teknik Sipil} => {B}";0.0531697341513292;0.8125;0.065439672801636;1.53997093023256;26
"{A1,Pr,SNMPTN} => {Teknik Sipil}";0.0572597137014315;0.622222222222222;0.0920245398773006;1.53670033670034;28
"{Pr,SM} => {Teknik Sipil}";0.118609406952965;0.617021276595745;0.192229038854806;1.52385557704707;58
"{A1,Pr} => {Teknik Sipil}";0.110429447852761;0.606741573033708;0.18200408997955;1.49846782431052;54
"{B,Lk,SPMU,Teknik Sipil} => {SM}";0.0449897750511247;1;0.0449897750511247;1.47289156626506;22
"{A1,Pr,SM} => {B}";0.0777096114519427;0.775510204081633;0.100204498977505;1.46986236355007;38
"{Pr,SM} => {B}";0.147239263803681;0.765957446808511;0.192229038854806;1.45175655616032;72
"{E} => {Lk}";0.0388548057259714;1;0.0388548057259714;1.44674556213018;19
"{M,Teknik Elektro} => {Lk}";0.049079754601227;1;0.049079754601227;1.44674556213018;24
"{C,M} => {Lk}";0.0593047034764826;1;0.0593047034764826;1.44674556213018;29
"{A2,M} => {Lk}";0.0368098159509202;1;0.0368098159509202;1.44674556213018;18
"{C,Teknik Mesin} => {Lk}";0.0572597137014315;1;0.0572597137014315;1.44674556213018;28
"{SPMU,Teknik Mesin} => {Lk}";0.0593047034764826;1;0.0593047034764826;1.44674556213018;29
"{A2,SM,Teknik Mesin} => {Lk}";0.0470347648261759;1;0.0470347648261759;1.44674556213018;23
"{SBMPTN,SM,Teknik Mesin} => {Lk}";0.0429447852760736;1;0.0429447852760736;1.44674556213018;21
"{A2,B,SPMU} => {Lk}";0.0388548057259714;1;0.0388548057259714;1.44674556213018;19
"{A2,SM,SPMU} => {Lk}";0.0613496932515337;1;0.0613496932515337;1.44674556213018;30
"{A2,Teknik Sipil} => {B}";0.0715746421267894;0.760869565217391;0.0940695296523517;1.44211324570273;35
"{A3,Pr} => {B}";0.0388548057259714;0.76;0.0511247443762781;1.44046511627907;19
"{M} => {Lk}";0.112474437627812;0.982142857142857;0.114519427402863;1.42091081994928;55
"{C,SPMU} => {Lk}";0.0940695296523517;0.978723404255319;0.0961145194274029;1.41596374165932;46
"{Informatika,P} => {A1}";0.0572597137014315;0.7;0.081799591002045;1.41446280991736;28
"{Pr,SPMU} => {A1}";0.0429447852760736;0.7;0.0613496932515337;1.41446280991736;21
"{A2,SPMU} => {Lk}";0.0797546012269939;0.975;0.081799591002045;1.41057692307692;39
"{SM,Teknik Mesin} => {Lk}";0.118609406952965;0.966666666666667;0.122699386503067;1.39852071005917;58
"{A2,B,SPMU} => {SM}";0.0368098159509202;0.947368421052632;0.0388548057259714;1.39537095751427;18
"{D} => {Lk}";0.0511247443762781;0.961538461538462;0.0531697341513292;1.39110150204825;25
"{SPMU,Teknik Elektro} => {Lk}";0.0511247443762781;0.961538461538462;0.0531697341513292;1.39110150204825;25
"{A2,Teknik Mesin} => {Lk}";0.049079754601227;0.96;0.0511247443762781;1.38887573964497;24
